Base_URL,Product_ID,TITLE,PRICE,DISCOUNT,MRP,RATINGS,QOUESTIONS,SELLER URL,COD,PRODUCT IMG URL,AVAILABILITY,OFFERS,PRODUCT TYPE,CURRENT SIZE,PRODUCT DETAILS,SIZES,OFFERS DETAILS,IMAGES COUNT,PRODUCT DESCRIPTION,RANK DETAIL,COLORS,DIVISION,CATEGORY ,SUB CATEGORY
https://www.amazon.in/dp/B08JQM3TNY?th=1&psc=1,B08JQM3TNY,        Urbano Fashion Men's Dark Green Printed Slim Fit Cotton T-Shirt       ,,,,3.0 out of 5 stars,,,,https://m.media-amazon.com/images/I/41ESKT1Z1XL._SX342_SY445_.jpg,    Currently unavailable.   ,,"
                Clothing & Accessories
            ",,        ,,,,,      ,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B08JQKXVCJ?th=1&psc=1,B08JQKXVCJ,        Urbano Fashion Men's Dark Green Printed Full Sleeve Slim Fit T-Shirt       ,,,,4.0 out of 5 stars,,,,https://m.media-amazon.com/images/I/41FMZ6sLEgL._SX342_SY445_.jpg,    Currently unavailable.   ,,"
                Clothing & Accessories
            ",,        ,,,,,      ,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B08JQMNNFX?th=1&psc=1,B08JQMNNFX,        Urbano Fashion Men's Dark Green Printed Slim Fit Cotton T-Shirt       ,,,,3.0 out of 5 stars,,,,https://m.media-amazon.com/images/I/41ESKT1Z1XL._SX342_SY445_.jpg,    Currently unavailable.   ,,"
                Clothing & Accessories
            ",,        ,,,,"Look your stylish best in this trendy new design of men's dark green printed half sleeve round neck t-shirt from the latest collection of Urbano Fashion. The youthful & fashionable printed design, high-quality & soft 100% cotton fabric, custom fit make it a must have for your wardrobe. Pair this in-vogue all-over printed t-shirt with any light shade of Urbano Fashion jeans or shorts for a fabulous casual look, and never go out of style! So go ahead, stand apart from the crowd and create your own trends. And follow no one else but yourself.",      ,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B086KWZDNC?th=1&psc=1,B086KWZDNC,        Urbano Fashion Men's Grey Superhero (Batman) Round Neck Full Sleeve T-Shirt       ,₹399,-60%,₹999,4.4 out of 5 stars,,/sp?marketplaceID=A21TJRUUN4KGV&seller=A3FAUFPGLEWDFF,,https://m.media-amazon.com/images/I/41QOibLGsQL._SX342_SY445_.jpg,    In stock.   ,    2 offers   ,"
                Clothing & Accessories
            ", M ,        ,,Buy Any 2 Products from Urbano Fashion and Get Extra 5% Off ; Buy 3 or more and Get Extra 7% Off. Limited Period Offer. Offered by Imperial Clothing Company,,,        ,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B07WJ4Z7TJ?th=1&psc=1,B07WJ4Z7TJ,        Urbano Fashion Men's Slim Fit T-Shirt       ,₹395,-60%,₹999,3.7 out of 5 stars,,/sp?marketplaceID=A21TJRUUN4KGV&seller=A3FAUFPGLEWDFF&isAmazonFulfilled=1&ref_=dp_merchant_link&asin=B07WJ4Z7TJ, Pay on Delivery ,https://m.media-amazon.com/images/I/41nEx1tinpL._SX342_SY445_.jpg,    Only 1 left in stock.   ,    2 offers   ,"
                Clothing & Accessories
            ", M ,, M ,Buy Any 2 Products from Urbano Fashion and Get Extra 5% Off ; Buy 3 or more and Get Extra 7% Off. Limited Period Offer. Offered by Imperial Clothing Company,,"Shop from a wide range of T-Shirt from Urbano Fashion. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B07WK9QCQR?th=1&psc=1,B07WK9QCQR,        Urbano Fashion Men's Blue Slim Fit Washed Jeans Stretchable       ,₹749,-53%,"₹1,599",3.5 out of 5 stars,,/sp?marketplaceID=A21TJRUUN4KGV&seller=A3FAUFPGLEWDFF&isAmazonFulfilled=1&ref_=dp_merchant_link&asin=B07WK9QCQR, Pay on Delivery ,https://m.media-amazon.com/images/I/418mi52W3CL._SX342_SY445_.jpg,    Only 1 left in stock.   ,    2 offers   ,"
                Clothing & Accessories
            ", 28 ,        ,,Buy Any 2 Products from Urbano Fashion and Get Extra 5% Off ; Buy 3 or more and Get Extra 7% Off. Limited Period Offer. Offered by Imperial Clothing Company,,,      ,,"
                Men
            ","
                 Jeans
             ",
https://www.amazon.in/dp/B07WJ6C7P3?th=1&psc=1,B07WJ6C7P3,        Urbano Fashion Men's Slim Fit T-Shirt       ,₹429,-61%,"₹1,099",3.3 out of 5 stars,,/sp?marketplaceID=A21TJRUUN4KGV&seller=A3FAUFPGLEWDFF&isAmazonFulfilled=1&ref_=dp_merchant_link&asin=B07WJ6CPYV, Pay on Delivery ,https://m.media-amazon.com/images/I/41O1cmM9v4L._SX342_SY445_.jpg,    In stock.   ,    2 offers   ,"
                Clothing & Accessories
            ", M ,,,Buy Any 2 Products from Urbano Fashion and Get Extra 5% Off ; Buy 3 or more and Get Extra 7% Off. Limited Period Offer. Offered by Imperial Clothing Company,,"Shop from a wide range of T-Shirt from Urbano Fashion. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B07HK6FWPN?th=1&psc=1,B07HK6FWPN,        Dennis Lingo Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves       ,₹649,-65%,"₹1,849",3.8 out of 5 stars, 265 answered questions ,/sp?marketplaceID=A21TJRUUN4KGV&seller=A1WYWER0W24N8S&isAmazonFulfilled=1&ref_=dp_merchant_link&asin=B07HK6FWPN, Pay on Delivery ,https://m.media-amazon.com/images/I/41lUQeclFuS._SY445_SX342_.jpg,    In stock.   ,    2 offers   ,"
                Clothing & Accessories
            ", S ,        , S ,"Buy 3 Get 5% Off, Buy 4 Get 10% Off",,"This Casual Solid shirt has a Slim fit, Spread collar, full button Placket, Full Sleeves, and a curved hemline Size and Fit Slim Fit The Model (height 6 foot and shoulders 18 inches is wearing size 40/M Please check the size chart for more details before ordering Material & Care 100% Premium Cotton (Machine Wash Regular) Style Tip Enhance your look by wearing this Casual Stylish Men's shirt, Team it with a pair of Chinos or Tapered Denim and Sneakers for a fun Smart Casual look About the Brand DENNIS LINGO Finding Basic Menswear for daily use can be hard among todays Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices",      ,,"
                Men
            ","
                Shirts
            ","
                 Casual Shirts
             "
https://www.amazon.in/dp/B08JQKFVGF?th=1&psc=1,B08JQKFVGF,        Urbano Fashion Men's Dark Green Printed Slim Fit Cotton T-Shirt       ,,,,3.0 out of 5 stars,,,,https://m.media-amazon.com/images/I/41ESKT1Z1XL._SX342_SY445_.jpg,    Currently unavailable.   ,,"
                Clothing & Accessories
            ",,        ,,,,,      ,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
https://www.amazon.in/dp/B08JQKKMP8?th=1&psc=1,B08JQKKMP8,        Urbano Fashion Men's Dark Green Printed Slim Fit Cotton T-Shirt       ,,,,3.0 out of 5 stars,,,,https://m.media-amazon.com/images/I/41ESKT1Z1XL._SX342_SY445_.jpg,    Currently unavailable.   ,,"
                Clothing & Accessories
            ",,        ,,,,,      ,,"
                Men
            ","
                T-Shirts & Polos
            ","
                 T-Shirts
             "
